RANK,SOURCES,MOVIES,TOTAL GROSS,AVERAGE GROSS,MARKET SHARE
1,Original Screenplay,"7,946","1,06,37,51,96,782","1,33,87,264",44.74
2,Based on Fiction Book/Short Story,"2,150","47,00,56,13,207","2,18,63,076",19.77
3,Based on Comic/Graphic Novel,249,"23,36,99,89,130","9,38,55,378",9.83
4,Remake,328,"12,83,26,59,970","3,91,23,963",5.4
5,Based on Real Life Events,"3,225","11,39,83,56,297","35,34,374",4.79
6,Based on TV,231,"11,30,50,06,312","4,89,39,421",4.75
7,Based on Factual Book/Article,295,"7,44,36,81,990","2,52,32,820",3.13
8,Spin-Off,41,"3,83,31,28,331","9,34,90,935",1.61
9,Based on Folk Tale/Legend/Fairytale,78,"3,40,61,18,495","4,36,68,186",1.43
10,Based on Play,271,"2,11,11,90,923","77,90,372",0.89
